ticker,date,DeltaT,Modello,Measure,Moneyness,Density
AAPL,2024-01-23,1.43Y,BS,RND,0.9924623115577887,0.0064241107569648
AAPL,2024-01-23,1.43Y,BS,RND,0.9974874371859296,0.0063892421382178
AAPL,2024-01-23,1.43Y,BS,RND,1.00251256281407,0.0063951943422927
AAPL,2024-01-23,1.43Y,BS,RND,1.007537688442211,0.00644196736919
AAPL,2024-01-23,1.43Y,BS,RND,1.0125628140703518,0.0065384842450822
AAPL,2024-01-23,1.43Y,BS,RND,1.0175879396984924,0.0066827942307932
AAPL,2024-01-23,1.43Y,BS,RND,1.022613065326633,0.0068882152795179
AAPL,2024-01-23,1.43Y,BS,RND,1.0276381909547738,0.0071500465402568
AAPL,2024-01-23,1.43Y,BS,RND,1.0326633165829144,0.0074483842747894
AAPL,2024-01-23,1.43Y,BS,RND,1.0376884422110553,0.0077790956747617
AAPL,2024-01-23,1.43Y,BS,RND,1.042713567839196,0.0082288500915353
AAPL,2024-01-23,1.43Y,BS,RND,1.0477386934673367,0.0087800115226209
AAPL,2024-01-23,1.43Y,BS,RND,1.0527638190954771,0.0093200386968433
AAPL,2024-01-23,1.43Y,BS,RND,1.057788944723618,0.0098509560245417
AAPL,2024-01-23,1.43Y,BS,RND,1.0628140703517586,0.0102254020910829
AAPL,2024-01-23,1.43Y,BS,RND,1.0678391959798994,0.0104769064524287
AAPL,2024-01-23,1.43Y,BS,RND,1.0728643216080402,0.010651731726578
AAPL,2024-01-23,1.43Y,BS,RND,1.0778894472361809,0.0107687113735438
AAPL,2024-01-23,1.43Y,BS,RND,1.0829145728643217,0.0107963893785686
AAPL,2024-01-23,1.43Y,BS,RND,1.087939698492462,0.0107594006773597
AAPL,2024-01-23,1.43Y,BS,RND,1.092964824120603,0.0106539923669276
AAPL,2024-01-23,1.43Y,BS,RND,1.0979899497487435,0.010501038226357
AAPL,2024-01-23,1.43Y,BS,RND,1.1030150753768844,0.0102995492495239
AAPL,2024-01-23,1.43Y,BS,RND,1.108040201005025,0.0100657037151824
AAPL,2024-01-23,1.43Y,BS,RND,1.1130653266331658,0.0098088723849442
AAPL,2024-01-23,1.43Y,BS,RND,1.1180904522613064,0.0095373452179849
AAPL,2024-01-23,1.43Y,BS,RND,1.123115577889447,0.009277332595658
AAPL,2024-01-23,1.43Y,BS,RND,1.128140703517588,0.0090243772748803
AAPL,2024-01-23,1.43Y,BS,RND,1.1331658291457287,0.0087992023929236
AAPL,2024-01-23,1.43Y,BS,RND,1.1381909547738691,0.0085903430067828
AAPL,2024-01-23,1.43Y,BS,RND,1.14321608040201,0.0085060993511142
AAPL,2024-01-23,1.43Y,BS,RND,1.1482412060301506,0.0084919520438367
AAPL,2024-01-23,1.43Y,BS,RND,1.1532663316582912,0.0084773626630315
AAPL,2024-01-23,1.43Y,BS,RND,1.158291457286432,0.0084625352426347
AAPL,2024-01-23,1.43Y,BS,RND,1.1633165829145726,0.0083391441516925
AAPL,2024-01-23,1.43Y,BS,RND,1.1683417085427137,0.0081598263213784
AAPL,2024-01-23,1.43Y,BS,RND,1.173366834170854,0.0079805089948128
AAPL,2024-01-23,1.43Y,BS,RND,1.178391959798995,0.007801191916362
AAPL,2024-01-23,1.43Y,BS,RND,1.1834170854271355,0.0076109960351793
AAPL,2024-01-23,1.43Y,BS,RND,1.1884422110552764,0.007415680717417
AAPL,2024-01-23,1.43Y,BS,RND,1.193467336683417,0.0072274773489432
AAPL,2024-01-23,1.43Y,BS,RND,1.1984924623115578,0.0070424692040628
AAPL,2024-01-23,1.43Y,BS,RND,1.2035175879396984,0.0068714258503348
AAPL,2024-01-23,1.43Y,BS,RND,1.208542713567839,0.0067063674071004
AAPL,2024-01-23,1.43Y,BS,RND,1.21356783919598,0.0065599403685103
AAPL,2024-01-23,1.43Y,BS,RND,1.2185929648241205,0.0064211233402679
AAPL,2024-01-23,1.43Y,BS,RND,1.223618090452261,0.0063083330217475
AAPL,2024-01-23,1.43Y,BS,RND,1.228643216080402,0.0062056642014522
AAPL,2024-01-23,1.43Y,BS,RND,1.2336683417085426,0.0061107436213515
AAPL,2024-01-23,1.43Y,BS,RND,1.2386934673366832,0.0060186888287198
AAPL,2024-01-23,1.43Y,BS,RND,1.243718592964824,0.0060019588161108
AAPL,2024-01-23,1.43Y,BS,RND,1.2487437185929646,0.0060116942667532
AAPL,2024-01-23,1.43Y,BS,RND,1.2537688442211052,0.0059937721586553
AAPL,2024-01-23,1.43Y,BS,RND,1.258793969849246,0.0059666308643106
AAPL,2024-01-23,1.43Y,BS,RND,1.2638190954773867,0.005829120486763
AAPL,2024-01-23,1.43Y,BS,RND,1.2688442211055275,0.00565675671452
AAPL,2024-01-23,1.43Y,BS,RND,1.2738693467336684,0.0054571710612283
AAPL,2024-01-23,1.43Y,BS,RND,1.278894472361809,0.0052494541967142
AAPL,2024-01-23,1.43Y,BS,RND,1.2839195979899496,0.0050241983015069
AAPL,2024-01-23,1.43Y,BS,RND,1.2889447236180904,0.0047939955002066
AAPL,2024-01-23,1.43Y,BS,RND,1.293969849246231,0.0045696776528841
AAPL,2024-01-23,1.43Y,BS,RND,1.2989949748743717,0.0043469241604164
AAPL,2024-01-23,1.43Y,BS,RND,1.3040201005025125,0.0041441921054492
AAPL,2024-01-23,1.43Y,BS,RND,1.309045226130653,0.0039464654098573
AAPL,2024-01-23,1.43Y,BS,RND,1.3140703517587935,0.0037785260080857
AAPL,2024-01-23,1.43Y,BS,RND,1.3190954773869346,0.003617573749309
AAPL,2024-01-23,1.43Y,BS,RND,1.3241206030150752,0.0034972688708432
AAPL,2024-01-23,1.43Y,BS,RND,1.3291457286432158,0.0033858865880555
AAPL,2024-01-23,1.43Y,BS,RND,1.3341708542713568,0.0033020497566415
AAPL,2024-01-23,1.43Y,BS,RND,1.3391959798994972,0.0032238547646656
AAPL,2024-01-23,1.43Y,BS,RND,1.344221105527638,0.003234435572763
AAPL,2024-01-23,1.43Y,BS,RND,1.349246231155779,0.0032619260570648
AAPL,2024-01-23,1.43Y,BS,RND,1.3542713567839195,0.0032676195725995
AAPL,2024-01-23,1.43Y,BS,RND,1.35929648241206,0.0032694665642341
AAPL,2024-01-23,1.43Y,BS,RND,1.3643216080402008,0.0031707626420238
AAPL,2024-01-23,1.43Y,BS,RND,1.3693467336683416,0.0030556899663968
AAPL,2024-01-23,1.43Y,BS,RND,1.374371859296482,0.0029237115698074
AAPL,2024-01-23,1.43Y,BS,RND,1.379396984924623,0.0027892070310052
AAPL,2024-01-23,1.43Y,BS,RND,1.3844221105527637,0.0026372917532629
AAPL,2024-01-23,1.43Y,BS,RND,1.3894472361809045,0.0024830022838469
AAPL,2024-01-23,1.43Y,BS,RND,1.394472361809045,0.0023296291872204
AAPL,2024-01-23,1.43Y,BS,RND,1.3994974874371855,0.0021763693501521
AAPL,2024-01-23,1.43Y,BS,RND,1.4045226130653266,0.0020337119270371
AAPL,2024-01-23,1.43Y,BS,RND,1.4095477386934672,0.0018922325499169
AAPL,2024-01-23,1.43Y,BS,RND,1.4145728643216078,0.0017699049474555
AAPL,2024-01-23,1.43Y,BS,RND,1.4195979899497486,0.0016494714765538
AAPL,2024-01-23,1.43Y,BS,RND,1.4246231155778892,0.0015553868951751
AAPL,2024-01-23,1.43Y,BS,RND,1.42964824120603,0.001463593521581
AAPL,2024-01-23,1.43Y,BS,RND,1.4346733668341705,0.0013990385626219
AAPL,2024-01-23,1.43Y,BS,RND,1.4396984924623115,0.0013365338069149
AAPL,2024-01-23,1.43Y,BS,RND,1.444723618090452,0.0013175872840069
AAPL,2024-01-23,1.43Y,BS,RND,1.4497487437185927,0.0013014210738307
AAPL,2024-01-23,1.43Y,BS,RND,1.4547738693467336,0.0012790950474659
AAPL,2024-01-23,1.43Y,BS,RND,1.459798994974874,0.001256444820249
AAPL,2024-01-23,1.43Y,BS,RND,1.464824120603015,0.0012260851612623
AAPL,2024-01-23,1.43Y,BS,RND,1.4698492462311556,0.0011954042759517
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.5301507537688442,0.0021595021745914
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.535175879396985,0.0022111934387726
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.5402010050251256,0.0022642844335152
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.5452261306532663,0.0023509689617314
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.550251256281407,0.0024377521265308
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.5552763819095478,0.0025264093863882
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.5603015075376885,0.0026152756011756
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.5653266331658292,0.002707415443207
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.5703517587939698,0.0027995027689476
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.5753768844221105,0.0028908923782533
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.5804020100502513,0.0029820267121348
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.585427135678392,0.0030702253786459
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.5904522613065326,0.0031579244498342
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.5954773869346733,0.0032405720572097
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.6005025125628141,0.0033225084197221
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.6055276381909548,0.0033980435784657
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.6105527638190955,0.0034727636179869
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.6155778894472362,0.0035408886019827
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.6206030150753769,0.0036081521859068
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.6256281407035176,0.0036690988359687
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.6306532663316583,0.0037297981014331
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.6356783919597989,0.0037888417930536
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.6407035175879396,0.0038469472590418
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.6457286432160804,0.003899289339001
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.6507537688442211,0.0039516354838536
AAPL,2024-01-23,1.43Y,Rabinovitch,RND,0.6557788944723618,0.0040040046631039
